DIA_INICIO;DIA_FINAL;SECCION_ANOMALIA;RECEPCIONADAS;ABIERTAS;CERRADAS;ABIERTAS_SIN_ACTUAR;ACTUADAS_NO_CERRADAS;ACTUADAS_Y_CERRADAS;VISADAS_NO_ACTUADAS;CERRADAS_POR_CANCELACION;TRASLADOS_INTERNOS
01/08/2015;16/08/2015;BICICLETA PUBLICA;6957;1252;5705;49;1203;5705;9;0;0
01/08/2015;16/08/2015;SE헤LIZACION ;35;27;8;24;3;8;1;0;0
01/08/2015;16/08/2015;SER;915;783;132;150;633;131;102;1;0
01/08/2015;16/08/2015;TOTAL;7907;2062;5845;223;1839;5844;112;1;0
17/08/2015;23/08/2015;BICICLETA PUBLICA;2888;1632;1256;28;1604;1256;4;0;0
17/08/2015;23/08/2015;SE헤LIZACION ;17;14;3;14;0;3;0;0;0
17/08/2015;23/08/2015;SER;564;440;124;154;286;124;56;0;0
17/08/2015;23/08/2015;TOTAL;3469;2086;1383;196;1890;1383;60;0;0
24/08/2015;30/08/2015;BICICLETA PUBLICA;3629;168;3461;107;61;3461;42;0;0
24/08/2015;30/08/2015;SE헤LIZACION ;49;39;10;39;0;10;1;0;6
24/08/2015;30/08/2015;SER;515;507;8;162;345;8;41;0;0
24/08/2015;30/08/2015;TOTAL;4193;714;3479;308;406;3479;84;0;6
31/08/2015;06/09/2015;BICICLETA PUBLICA;4211;1953;2258;185;1768;2258;31;0;1
31/08/2015;06/09/2015;SE헤LIZACION ;64;58;6;56;2;6;3;0;0
31/08/2015;06/09/2015;SER;926;921;5;299;622;5;127;0;0
31/08/2015;06/09/2015;TOTAL;5201;2932;2269;540;2392;2269;161;0;1
07/09/2015;13/09/2015;BICICLETA PUBLICA;4872;3617;1255;1306;2311;1255;35;0;1
07/09/2015;13/09/2015;SE헤LIZACION ;100;96;4;96;0;4;4;0;3
07/09/2015;13/09/2015;SER;853;849;4;170;679;4;95;0;0
07/09/2015;13/09/2015;TOTAL;5825;4562;1263;1572;2990;1263;134;0;4
14/09/2015;20/09/2015;BICICLETA PUBLICA;4525;2764;1761;1323;1441;1761;65;0;1
14/09/2015;20/09/2015;SE헤LIZACION ;83;74;9;74;0;8;1;1;2
14/09/2015;20/09/2015;SER;1005;997;8;222;775;8;98;0;1
14/09/2015;20/09/2015;TOTAL;5613;3835;1778;1619;2216;1777;164;1;4
21/09/2015;27/09/2015;BICICLETA PUBLICA;4941;4015;926;2018;1997;926;36;0;0
21/09/2015;27/09/2015;SE헤LIZACION ;77;65;12;65;0;12;1;0;3
21/09/2015;27/09/2015;SER;1003;985;18;224;761;18;95;0;1
21/09/2015;27/09/2015;TOTAL;6021;5065;956;2307;2758;956;132;0;4
28/09/2015;04/10/2015;BICICLETA PUBLICA;4201;2360;1841;963;1397;1841;16;0;0
28/09/2015;04/10/2015;SE헤LIZACION ;82;71;11;70;1;10;4;1;4
28/09/2015;04/10/2015;SER;926;852;74;194;658;74;114;0;0
28/09/2015;04/10/2015;TOTAL;5209;3283;1926;1227;2056;1925;134;1;4
05/10/2015;11/10/2015;BICICLETA PUBLICA;3907;207;3700;195;12;3698;38;2;0
05/10/2015;11/10/2015;SE헤LIZACION ;69;56;13;56;0;13;1;0;1
05/10/2015;11/10/2015;SER;995;251;744;70;181;743;59;1;3
05/10/2015;11/10/2015;TOTAL;4971;514;4457;321;193;4454;98;3;4
12/10/2015;18/10/2015;BICICLETA PUBLICA;3428;2007;1421;346;1661;1421;63;0;0
12/10/2015;18/10/2015;SE헤LIZACION ;81;81;0;81;0;0;0;0;2
12/10/2015;18/10/2015;SER;856;713;143;246;467;143;97;0;0
12/10/2015;18/10/2015;TOTAL;4365;2801;1564;673;2128;1564;160;0;2
19/10/2015;25/10/2015;BICICLETA PUBLICA;3611;1805;1806;55;1750;1806;27;0;0
19/10/2015;25/10/2015;SE헤LIZACION ;83;79;4;79;0;4;0;0;3
19/10/2015;25/10/2015;SER;1182;865;317;280;585;317;127;0;0
19/10/2015;25/10/2015;TOTAL;4876;2749;2127;414;2335;2127;154;0;3
26/10/2015;01/11/2015;BICICLETA PUBLICA;3162;1404;1758;75;1329;1758;30;0;2
26/10/2015;01/11/2015;SE헤LIZACION ;66;60;6;60;0;6;1;0;0
26/10/2015;01/11/2015;SER;965;750;215;175;575;214;85;1;0
26/10/2015;01/11/2015;TOTAL;4193;2214;1979;310;1904;1978;116;1;2
02/11/2015;08/11/2015;BICICLETA PUBLICA;3047;245;2802;55;190;2799;55;3;0
02/11/2015;08/11/2015;SE헤LIZACION ;82;79;3;79;0;3;8;0;3
02/11/2015;08/11/2015;SER;1413;1081;332;280;801;332;134;0;0
02/11/2015;08/11/2015;TOTAL;4542;1405;3137;414;991;3134;197;3;3
09/11/2015;15/11/2015;BICICLETA PUBLICA;3393;2424;969;52;2372;968;29;1;0
09/11/2015;15/11/2015;SE헤LIZACION ;58;54;4;54;0;4;1;0;3
09/11/2015;15/11/2015;SER;685;673;12;244;429;11;82;1;1
09/11/2015;15/11/2015;TOTAL;4136;3151;985;350;2801;983;112;2;4
16/11/2015;22/11/2015;BICICLETA PUBLICA;2970;2942;28;9;2933;25;7;3;0
16/11/2015;22/11/2015;SE헤LIZACION ;53;51;2;51;0;1;4;1;1
16/11/2015;22/11/2015;SER;974;967;7;238;729;5;108;2;1
16/11/2015;22/11/2015;TOTAL;3997;3960;37;298;3662;31;119;6;2
23/11/2015;29/11/2015;BICICLETA PUBLICA;2564;2433;131;81;2352;130;73;1;0
23/11/2015;29/11/2015;SE헤LIZACION ;62;54;8;54;0;8;3;0;2
23/11/2015;29/11/2015;SER;721;707;14;174;533;14;76;0;1
23/11/2015;29/11/2015;TOTAL;3347;3194;153;309;2885;152;152;1;3
30/11/2015;06/12/2015;BICICLETA PUBLICA;2065;2032;33;38;1994;32;38;1;0
30/11/2015;06/12/2015;SE헤LIZACION ;69;60;9;60;0;9;5;0;0
30/11/2015;06/12/2015;SER;297;137;160;26;111;160;22;0;0
30/11/2015;06/12/2015;TOTAL;2431;2229;202;124;2105;201;65;1;0
07/12/2015;13/12/2015;BICICLETA PUBLICA;2426;2410;16;100;2310;16;87;0;0
07/12/2015;13/12/2015;SE헤LIZACION ;50;46;4;43;3;4;2;0;2
07/12/2015;13/12/2015;SER;550;547;3;211;336;3;81;0;1
07/12/2015;13/12/2015;TOTAL;3026;3003;23;354;2649;23;170;0;3
14/12/2015;20/12/2015;BICICLETA PUBLICA;2435;942;1493;107;835;1491;93;2;0
14/12/2015;20/12/2015;SE헤LIZACION ;72;63;9;63;0;9;0;0;6
14/12/2015;20/12/2015;SER;827;695;132;311;384;129;118;3;2
14/12/2015;20/12/2015;TOTAL;3334;1700;1634;481;1219;1629;211;5;8
21/12/2015;27/12/2015;BICICLETA PUBLICA;1688;1003;685;71;932;685;66;0;0
21/12/2015;27/12/2015;SE헤LIZACION ;36;36;0;36;0;0;2;0;1
21/12/2015;27/12/2015;SER;699;696;3;398;298;3;84;0;0
21/12/2015;27/12/2015;TOTAL;2423;1735;688;505;1230;688;152;0;1
28/12/2015;03/01/2016;BICICLETA PUBLICA;1289;1279;10;65;1214;10;57;0;0
28/12/2015;03/01/2016;SE헤LIZACION ;32;32;0;32;0;0;0;0;0
28/12/2015;03/01/2016;SER;699;697;2;386;311;2;67;0;0
28/12/2015;03/01/2016;TOTAL;2020;2008;12;483;1525;12;124;0;0
04/01/2016;10/01/2016;BICICLETA PUBLICA;1283;1279;4;48;1231;4;45;0;0
04/01/2016;10/01/2016;SE헤LIZACION ;68;65;3;65;0;2;5;1;0
04/01/2016;10/01/2016;SER;749;727;22;332;395;22;118;0;0
04/01/2016;10/01/2016;TOTAL;2100;2071;29;445;1626;28;168;1;0
11/01/2016;17/01/2016;BICICLETA PUBLICA;1524;1512;12;49;1463;12;49;0;0
11/01/2016;17/01/2016;SE헤LIZACION ;84;78;6;78;0;5;3;1;2
11/01/2016;17/01/2016;SER;988;878;110;277;601;108;98;2;0
11/01/2016;17/01/2016;TOTAL;2596;2468;128;404;2064;125;150;3;2
18/01/2016;24/01/2016;BICICLETA PUBLICA;1710;1699;11;70;1629;11;67;0;0
18/01/2016;24/01/2016;SE헤LIZACION ;88;74;14;74;0;14;0;0;2
18/01/2016;24/01/2016;SER;1498;1408;90;456;952;89;113;1;1
18/01/2016;24/01/2016;TOTAL;3296;3181;115;600;2581;114;180;1;3
25/01/2016;31/01/2016;BICICLETA PUBLICA;1643;1631;12;97;1534;12;90;0;0
25/01/2016;31/01/2016;SE헤LIZACION ;99;93;6;93;0;5;7;1;2
25/01/2016;31/01/2016;SER;1182;689;493;280;409;493;53;0;0
25/01/2016;31/01/2016;TOTAL;2924;2413;511;470;1943;510;150;1;2
01/02/2016;07/02/2016;BICICLETA PUBLICA;1752;1739;13;74;1665;13;67;0;0
01/02/2016;07/02/2016;SE헤LIZACION ;106;91;15;91;0;11;3;4;1
01/02/2016;07/02/2016;SER;944;618;326;201;417;326;55;0;1
01/02/2016;07/02/2016;TOTAL;2802;2448;354;366;2082;350;125;4;2
08/02/2016;14/02/2016;BICICLETA PUBLICA;1253;1235;18;73;1162;18;73;0;0
08/02/2016;14/02/2016;SE헤LIZACION ;124;109;15;109;0;12;7;3;4
08/02/2016;14/02/2016;SER;1148;915;233;370;545;233;76;0;0
08/02/2016;14/02/2016;TOTAL;2525;2259;266;552;1707;263;156;3;4
15/02/2016;21/02/2016;BICICLETA PUBLICA;1355;1324;31;44;1280;29;44;2;1
15/02/2016;21/02/2016;SE헤LIZACION ;118;85;33;84;1;33;9;0;2
15/02/2016;21/02/2016;SER;1086;133;953;54;79;949;35;4;0
15/02/2016;21/02/2016;TOTAL;2559;1542;1017;182;1360;1011;88;6;3
22/02/2016;28/02/2016;BICICLETA PUBLICA;1299;1277;22;51;1226;22;48;0;1
22/02/2016;28/02/2016;SE헤LIZACION ;87;79;8;78;1;8;7;0;2
22/02/2016;28/02/2016;SER;963;562;401;207;355;400;51;1;1
22/02/2016;28/02/2016;TOTAL;2349;1918;431;336;1582;430;106;1;4
29/02/2016;06/03/2016;BICICLETA PUBLICA;1444;1430;14;71;1359;14;67;0;0
29/02/2016;06/03/2016;SE헤LIZACION ;113;90;23;87;3;18;1;5;5
29/02/2016;06/03/2016;SER;1154;577;577;185;392;575;44;2;2
29/02/2016;06/03/2016;TOTAL;2711;2097;614;343;1754;607;112;7;7
07/03/2016;13/03/2016;BICICLETA PUBLICA;1245;1148;97;72;1076;97;66;0;0
07/03/2016;13/03/2016;SE헤LIZACION ;97;87;10;86;1;9;6;1;2
07/03/2016;13/03/2016;SER;886;334;552;141;193;552;45;0;0
07/03/2016;13/03/2016;TOTAL;2228;1569;659;299;1270;658;117;1;2
14/03/2016;20/03/2016;BICICLETA PUBLICA;1266;1260;6;78;1182;6;72;0;0
14/03/2016;20/03/2016;SE헤LIZACION ;97;74;23;73;1;22;9;1;2
14/03/2016;20/03/2016;SER;889;454;435;211;243;435;65;0;0
14/03/2016;20/03/2016;TOTAL;2252;1788;464;362;1426;463;146;1;2
21/03/2016;27/03/2016;BICICLETA PUBLICA;695;695;0;43;652;0;34;0;0
21/03/2016;27/03/2016;SE헤LIZACION ;29;27;2;27;0;2;2;0;0
21/03/2016;27/03/2016;SER;539;464;75;184;280;75;55;0;0
21/03/2016;27/03/2016;TOTAL;1263;1186;77;254;932;77;91;0;0
28/03/2016;03/04/2016;BICICLETA PUBLICA;1178;1169;9;112;1057;9;96;0;0
28/03/2016;03/04/2016;SE헤LIZACION ;89;77;12;75;2;10;5;2;1
28/03/2016;03/04/2016;SER;1012;671;341;222;449;341;79;0;0
28/03/2016;03/04/2016;TOTAL;2279;1917;362;409;1508;360;180;2;1
04/04/2016;10/04/2016;BICICLETA PUBLICA;1228;1221;7;108;1113;7;83;0;0
04/04/2016;10/04/2016;SE헤LIZACION ;97;89;8;88;1;8;2;0;6
04/04/2016;10/04/2016;SER;924;400;524;213;187;523;66;1;1
04/04/2016;10/04/2016;TOTAL;2249;1710;539;409;1301;538;151;1;7
11/04/2016;17/04/2016;BICICLETA PUBLICA;963;954;9;70;884;9;62;0;1
11/04/2016;17/04/2016;SE헤LIZACION ;77;70;7;70;0;5;3;2;3
11/04/2016;17/04/2016;SER;876;614;262;242;372;262;71;0;0
11/04/2016;17/04/2016;TOTAL;1916;1638;278;382;1256;276;136;2;4
18/04/2016;24/04/2016;BICICLETA PUBLICA;1128;1117;11;89;1028;9;87;2;0
18/04/2016;24/04/2016;SE헤LIZACION ;111;103;8;103;0;7;1;1;4
18/04/2016;24/04/2016;SER;1093;668;425;282;386;425;83;0;1
18/04/2016;24/04/2016;TOTAL;2332;1888;444;474;1414;441;171;3;5
25/04/2016;01/05/2016;BICICLETA PUBLICA;1251;1232;19;40;1192;19;38;0;0
25/04/2016;01/05/2016;SE헤LIZACION ;112;102;10;102;0;10;6;0;5
25/04/2016;01/05/2016;SER;851;427;424;207;220;424;78;0;0
25/04/2016;01/05/2016;TOTAL;2214;1761;453;349;1412;453;122;0;5
02/05/2016;08/05/2016;BICICLETA PUBLICA;1099;1093;6;49;1044;6;44;0;0
02/05/2016;08/05/2016;SE헤LIZACION ;86;77;9;77;0;8;3;1;3
02/05/2016;08/05/2016;SER;823;808;15;305;503;15;99;0;0
02/05/2016;08/05/2016;TOTAL;2008;1978;30;431;1547;29;146;1;3
09/05/2016;15/05/2016;BICICLETA PUBLICA;964;957;7;62;895;7;55;0;0
09/05/2016;15/05/2016;SE헤LIZACION ;83;78;5;77;1;5;3;0;2
09/05/2016;15/05/2016;SER;946;577;369;196;381;369;78;0;0
09/05/2016;15/05/2016;TOTAL;1993;1612;381;335;1277;381;136;0;2
16/05/2016;22/05/2016;BICICLETA PUBLICA;1594;1579;15;138;1441;15;130;0;0
16/05/2016;22/05/2016;SE헤LIZACION ;77;71;6;71;0;6;3;0;3
16/05/2016;22/05/2016;SER;769;626;143;204;422;143;84;0;0
16/05/2016;22/05/2016;TOTAL;2440;2276;164;413;1863;164;217;0;3
23/05/2016;29/05/2016;BICICLETA PUBLICA;1482;1464;18;106;1358;18;96;0;0
23/05/2016;29/05/2016;SE헤LIZACION ;85;78;7;77;1;7;2;0;3
23/05/2016;29/05/2016;SER;980;556;424;210;346;424;57;0;0
23/05/2016;29/05/2016;TOTAL;2547;2098;449;393;1705;449;155;0;3
30/05/2016;05/06/2016;BICICLETA PUBLICA;1402;1378;24;109;1269;24;102;0;0
30/05/2016;05/06/2016;SE헤LIZACION ;84;72;12;72;0;11;2;1;4
30/05/2016;05/06/2016;SER;747;324;423;161;163;422;50;1;0
30/05/2016;05/06/2016;TOTAL;2233;1774;459;342;1432;457;154;2;4
06/06/2016;12/06/2016;BICICLETA PUBLICA;1617;1606;11;162;1444;11;154;0;0
06/06/2016;12/06/2016;SE헤LIZACION ;74;73;1;71;2;1;0;0;1
06/06/2016;12/06/2016;SER;999;986;13;252;734;13;64;0;1
06/06/2016;12/06/2016;TOTAL;2690;2665;25;485;2180;25;218;0;2
13/06/2016;19/06/2016;BICICLETA PUBLICA;1592;1574;18;152;1422;17;138;1;1
13/06/2016;19/06/2016;SE헤LIZACION ;87;83;4;83;0;4;0;0;4
13/06/2016;19/06/2016;SER;908;510;398;269;241;396;86;2;1
13/06/2016;19/06/2016;TOTAL;2587;2167;420;504;1663;417;224;3;6
20/06/2016;26/06/2016;BICICLETA PUBLICA;1812;1788;24;151;1637;24;139;0;0
20/06/2016;26/06/2016;SE헤LIZACION ;76;66;10;66;0;10;3;0;3
20/06/2016;26/06/2016;SER;890;792;98;219;573;98;72;0;0
20/06/2016;26/06/2016;TOTAL;2778;2646;132;436;2210;132;214;0;3
27/06/2016;03/07/2016;BICICLETA PUBLICA;1718;1706;12;61;1645;12;59;0;0
27/06/2016;03/07/2016;SE헤LIZACION ;48;34;14;31;3;14;2;0;4
